# Power (W),Signal (arb)
9.699999999999999734e-01,1.000000000000000000e+00
9.100000000000000311e-01,9.470264867566220435e-01
8.100000000000000533e-01,8.773946360153259683e-01
5.949999999999999734e-01,6.523404964184570387e-01
3.750000000000000000e-01,4.292020656338499940e-01
5.649999999999999467e-01,6.104447776111939783e-01
2.800000000000000058e-02,4.764284524404460014e-02
2.349999999999999867e-01,2.825254039646840076e-01
4.149999999999999800e-01,4.738464101282690022e-01
1.049999999999999961e-01,1.361819090454770009e-01
7.550000000000000044e-01,7.985174079626849997e-01
9.170000000000000373e-01,9.265367316341830417e-01
3.750000000000000000e-01,4.287856071964020188e-01
6.750000000000000444e-01,7.171414292853569572e-01
8.699999999999999956e-01,9.002998500749630484e-01
2.000000000000000042e-03,2.265533899716809865e-02
8.499999999999999778e-01,8.874729302015660348e-01
9.629999999999999671e-01,9.810927869398630152e-01
